funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
_TIFFsetNString,0,tif_dir.c,3,0,0,7,5,1,0,0,2,1,1,0,0,0,0,0,libtiff
_TIFFsetShortArray,0,tif_dir.c,3,0,0,7,5,1,0,0,2,1,2,0,0,0,0,0,libtiff
_TIFFsetString,0,tif_dir.c,2,0,0,10,4,1,0,0,2,2,0,0,0,0,0,0,libtiff
_TIFFSetupFieldInfo,0,tif_dirinfo.c,3,0,0,14,19,1,0,37,0,5,2,0,3,0,0,0,libtiff
_tiffSizeProc,0,tif_unix.c,1,9,0,11,4,25,0,0,1,1,2,2,1,0,3,0,libtiff
_TIFFSwab16BitData,0,tif_read.c,3,5,0,8,7,27,0,36,1,2,0,0,0,0,2,0,libtiff
_TIFFSwab24BitData,0,tif_read.c,3,5,0,8,7,32,0,36,1,2,0,0,0,0,2,0,libtiff
_TIFFSwab32BitData,0,tif_read.c,3,5,0,8,7,26,0,36,1,2,0,0,0,0,2,0,libtiff
_TIFFSwab64BitData,0,tif_read.c,3,5,0,8,7,26,0,36,1,2,0,0,0,0,2,0,libtiff
_TIFFtrue,0,tif_compress.c,1,1,0,4,4,7,0,36,0,0,0,0,0,0,0,0,libtiff
_tiffUnmapProc,0,tif_unix.c,3,2,0,4,7,14,0,0,2,0,0,0,0,0,0,0,libtiff
_TIFFVGetField,1,tif_dir.c,3,462,1,21,810,337,1,44,0,5,0,0,12,135,242,0,libtiff
_TIFFvoid,0,tif_compress.c,1,1,0,4,3,6,0,36,0,0,0,0,0,0,0,0,libtiff
_TIFFVSetField,1,tif_dir.c,3,613,1,23,529,536,5,45,0,88,0,0,50,147,273,0,libtiff
_TIFFWriteDirectory,0,tif_dirwrite.c,2,135,17,19,217,249,10,43,0,55,2,4,44,17,47,0,libtiff
_tiffWriteProc,0,tif_unix.c,3,2,0,8,5,17,0,0,2,1,0,0,0,0,0,0,libtiff
atan2,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
bsearch,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
buildMap,0,tif_getimage.c,1,4,0,14,22,21,0,10,0,6,2,2,5,1,2,0,libtiff
checkcmap,0,tif_getimage.c,1,23,1,10,10,41,4,13,0,0,1,0,2,3,6,0,libtiff
CheckDirCount,0,tif_dirread.c,3,12,0,15,13,38,0,36,0,4,8,4,2,2,4,0,libtiff
checkInkNamesString,0,tif_dir.c,3,13,2,10,22,52,1,42,1,1,1,2,4,3,6,0,libtiff
ChopUpSingleUncompressedStrip,0,tif_dirread.c,1,59,2,9,55,90,9,38,0,9,1,4,9,10,13,0,libtiff
cl_hash,0,tif_lzw.c,1,7,2,9,22,32,0,8,0,0,3,2,2,0,3,0,libtiff
close,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
close,0,tif_acorn.c,1,0,0,8,3,1,0,0,0,1,11,2,0,0,0,0,libtiff
codeLoop,0,tif_lzw.c,1,2,0,7,3,16,0,36,0,1,2,2,0,0,0,0,libtiff
cvtcmap,0,tif_getimage.c,1,18,1,10,32,36,4,13,0,3,1,0,1,1,2,0,libtiff
cvtRational,0,tif_dirread.c,5,19,0,13,15,45,0,36,1,2,2,2,2,2,6,2,libtiff
deflate,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
deflateEnd,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
deflateInit_,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
deflateParams,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
deflateReset,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
deregister_tm_clones,0,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
DumpModeDecode,0,tif_dumpmode.c,4,9,0,9,15,41,0,36,1,2,0,0,2,2,3,0,libtiff
DumpModeEncode,1,tif_dumpmode.c,4,15,2,11,22,56,0,36,1,3,0,0,4,5,8,0,libtiff
DumpModeSeek,0,tif_dumpmode.c,2,1,0,6,6,20,0,36,0,0,0,0,0,0,0,0,libtiff
EstimateStripByteCounts,0,tif_dirread.c,3,59,2,14,52,129,1,36,0,8,3,4,10,8,15,0,libtiff
exp,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,libtiff
Fax3BadLength,0,tif_fax3.c,5,14,0,12,7,47,0,36,1,3,0,2,3,1,6,0,libtiff
Fax3Cleanup,0,tif_fax3.c,1,14,0,11,14,32,0,42,0,8,0,0,3,1,4,0,libtiff
