funcName,label,fileName,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn,app
geonet_print,0,print-geonet.c,4,47,0,12,165,128,0,15,2,13,1,10,15,11,19,0,tcpdump
get_direction,0,print-usb.c,2,33,0,9,38,28,1,0,0,0,1,4,3,9,16,0,tcpdump
get_forces_optlv_h,0,print-forces.c,1,7,0,6,5,20,0,0,0,0,1,4,1,2,3,0,tcpdump
get_forces_pd,0,print-forces.c,1,7,1,9,11,27,1,0,0,0,1,6,2,2,4,0,tcpdump
get_forces_tom,0,print-forces.c,1,7,1,9,11,27,1,0,0,0,1,4,2,2,4,0,tcpdump
get_lifetime,0,print-icmp6.c,1,6,0,10,9,19,0,0,0,1,3,0,1,1,2,0,tcpdump
get_print_info,0,tcpdump.c,1,10,0,12,17,30,0,0,0,5,2,2,3,0,2,0,tcpdump
get_rtpref,0,print-icmp6.c,1,1,0,7,5,13,0,0,0,0,1,0,0,0,0,0,tcpdump
get_upperlayer,0,print-icmp6.c,3,13,0,15,59,47,3,16,2,6,1,0,8,4,8,2,tcpdump
geteuid,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getgid,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
gethostbyaddr,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getname,0,addrtoname.c,2,36,1,14,32,77,0,0,0,7,31,4,6,3,15,1,tcpdump
getname6,0,addrtoname.c,2,36,1,14,36,83,0,0,0,8,10,6,6,0,11,1,tcpdump
getopt_long,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getprotobynumber,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getpwnam,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getrpcbynumber,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getservent,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
getuid,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
gmt2local,0,gmt2local.c,1,10,0,9,18,43,0,0,0,3,1,2,2,0,3,1,tcpdump
gmtime,0,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tcpdump
